,College Code,College Name,Branch Code,Year,Branch Name,District,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
0,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,2017,agricultural and irrigation engg.(ss),CHENNAI,196.25,195.25,193.25,194.25,,,188.75,185.75,175.25
1,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,2017,bio medical engg(ss),CHENNAI,198.25,197.5,197.25,196.5,,,193.0,191.75,188.0
2,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,2017,civil engineering,CHENNAI,198.5,198.0,197.5,197.5,,,196.0,193.5,196.0
3,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,2017,computer science and engg.(ss),CHENNAI,199.0,198.75,199.0,197.75,,,193.5,190.5,193.33
4,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,2017,computer science and engg.,CHENNAI,199.75,199.5,199.5,199.0,,,197.5,196.25,193.75
5,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,2017,electronics and comm engg.,CHENNAI,200.0,199.75,199.75,199.25,,,198.25,197.0,190.25
6,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,2017,electrical and elec. engg.,CHENNAI,199.25,199.0,198.5,198.75,,,196.5,197.0,193.25
7,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,2017,electronics and comm engg(ss),CHENNAI,199.25,199.0,198.0,198.5,,,195.5,194.5,189.0
8,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,2017,geo-informatics,CHENNAI,196.75,196.0,194.0,194.75,,,188.75,186.25,
9,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IE,2017,industrial engineering,CHENNAI,196.5,196.0,195.5,194.25,,,186.75,184.0,
10,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IM,2017,information technology(ss),CHENNAI,198.5,198.0,197.75,197.0,,,191.5,184.5,172.0
11,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MA,2017,materials science and engg.(ss),CHENNAI,196.0,195.5,194.75,194.25,,,184.0,179.75,
12,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",ME,2017,mechanical engineering,CHENNAI,199.25,199.0,198.5,198.25,,,196.5,196.5,190.75
13,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MI,2017,mining engineering,CHENNAI,197.0,196.0,193.25,195.0,,,188.75,191.0,
14,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MN,2017,manufacturing engineering,CHENNAI,197.25,196.5,196.75,195.5,,,187.0,193.0,
15,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PT,2017,printing technology,CHENNAI,195.0,194.25,190.75,192.5,,,183.75,180.25,164.5
16,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,2017,civil engineering (tamil medium),CHENNAI,192.25,190.5,190.5,188.75,,,179.5,173.0,161.0
17,1.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XM,2017,mechanical engineering (tamil medium),CHENNAI,193.5,191.0,191.25,189.25,,,180.0,175.75,164.25
18,2.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AP,2017,apparel technology(ss),CHENNAI,193.25,192.0,191.0,190.0,,,178.5,173.25,
19,2.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CH,2017,chemical engineering,CHENNAI,198.5,197.75,196.75,197.0,,,193.5,195.25,185.25
20,2.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CL,2017,chemical engineering(ss),CHENNAI,197.25,197.0,196.5,195.5,,,188.0,183.75,176.0
21,2.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CR,2017,ceramic technology(ss),CHENNAI,192.75,192.0,190.25,190.25,,,178.0,170.75,
22,2.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",FS,2017,food technology(ss),CHENNAI,196.0,195.25,194.25,193.5,,,186.25,175.5,
23,2.0,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IB,2017,industrial bio-technology,CHENNAI,197.75,197.0,195.75,195.5,,,193.0,192.75,
